ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY,BILL_AMT,PAY_AMT,DefaultNext
6491,50000,1,3,1,34,0,6808,1318,0
6492,3.00E+05,1,2,1,38,0,181387,8000,0
6493,30000,2,2,1,40,2,27975,2700,1
6494,50000,1,2,2,34,2,61220,9,0
6495,180000,2,2,2,35,-2,-117,2690,0
6496,50000,2,5,1,28,0,9014,3000,0
6497,50000,1,3,1,46,0,6066,1200,0
6498,190000,2,2,1,40,0,184276,15000,0
6499,2.00E+05,2,2,2,32,-2,940,174,0
6500,140000,2,2,2,26,0,141057,7200,0
6501,10000,1,3,1,47,0,6817,2588,1
6502,180000,2,5,1,54,0,88545,3279,0
6503,170000,2,3,2,29,-1,14460,738,0
6504,50000,1,2,1,36,1,0,0,0
6505,2.00E+05,1,2,2,32,-1,9249,9363,0
6506,170000,2,2,1,42,-1,1085,326,1
6507,50000,1,2,2,52,1,5893,0,0
6508,230000,2,2,2,24,-1,2360,0,0
6509,5.00E+05,2,2,2,36,0,21368,4066,0
6510,50000,1,2,2,25,2,1050,0,1
6511,80000,1,1,2,38,0,32562,1482,0
6512,2.00E+05,2,2,1,61,-1,780,0,0
6513,360000,1,3,2,34,1,0,0,1
6514,140000,2,1,1,41,-1,780,0,0
6515,290000,2,2,1,48,1,292907,0,1
6516,50000,1,2,1,41,0,48027,3000,1
6517,10000,2,2,3,38,0,3213,1000,0
6518,80000,1,2,2,27,2,1195,700,0
6519,20000,1,3,2,22,0,18535,5109,1
6520,150000,1,1,2,37,-2,120,0,0
6521,230000,2,1,2,37,0,9092,3500,1
6522,60000,2,3,2,24,0,60491,2560,1
6523,360000,2,1,2,26,-1,724,125,0
6524,1.00E+05,1,2,1,36,0,46202,1784,0
6525,30000,1,2,1,33,0,23467,1409,0
6526,330000,2,2,1,30,0,155285,10000,0
6527,20000,2,1,2,24,-1,632,0,0
6528,80000,2,2,1,49,1,42053,0,0
6529,90000,2,5,2,23,0,40145,2000,1
6530,20000,2,2,2,23,0,16740,1600,0
6531,230000,1,3,1,61,1,0,0,1
6532,160000,1,2,2,28,-1,3498,0,0
6533,2.00E+05,2,2,1,36,-1,2500,0,0
6534,20000,1,2,2,27,0,1955,2535,0
6535,170000,1,1,1,35,0,51207,5000,0
6536,180000,2,2,1,26,0,3679,1105,0
6537,50000,2,2,1,29,0,98492,2477,0
6538,360000,2,1,1,40,-1,16540,1160,0
6539,230000,2,2,2,28,-1,875,1000,0
6540,80000,2,1,2,28,0,75709,6800,1
6541,60000,1,1,2,31,2,61432,0,1
6542,150000,2,3,1,52,-1,420,0,0
6543,120000,2,3,1,52,0,117029,5800,0
6544,430000,2,1,1,43,-1,20849,3814,0
6545,360000,1,3,1,32,0,89120,105484,0
6546,2.00E+05,2,2,1,60,-1,396,396,0
6547,50000,1,2,2,26,0,40959,2000,0
6548,150000,2,2,1,36,0,70001,2500,0
6549,20000,2,1,2,46,0,12146,1273,0
6550,20000,1,1,2,23,0,5565,1276,0
6551,50000,1,2,2,24,1,52935,0,1
6552,260000,2,2,2,27,0,19713,3000,1
6553,230000,2,3,2,30,0,1873,1500,1
6554,170000,1,3,1,43,-1,19247,1230,0
6555,180000,1,1,2,28,-2,-124,1004,0
6556,30000,1,1,2,38,1,24172,0,0
6557,20000,1,2,2,22,3,16014,0,1
6558,260000,1,3,1,50,2,655,1076,1
6559,180000,2,3,2,30,-1,1730,6792,0
6560,230000,2,2,1,32,0,57259,2500,1
6561,120000,2,2,3,43,0,46889,1856,0
6562,280000,1,1,1,63,-2,0,0,0
6563,270000,2,2,2,29,0,150185,4988,0
6564,70000,1,1,1,39,0,67474,3100,0
6565,60000,1,2,2,31,0,53234,2580,0
6566,180000,1,2,2,28,0,78128,5000,0
6567,160000,2,2,1,32,0,30414,1200,1
6568,50000,2,1,2,25,0,14500,0,0
6569,60000,2,2,2,48,-2,53044,1607,0
6570,50000,1,2,2,48,3,12961,507,1
6571,80000,2,2,1,56,1,-2,699,0
6572,30000,2,2,1,22,0,28622,1700,0
6573,90000,2,1,2,26,0,32154,1888,0
6574,130000,2,2,1,33,0,9768,8486,0
6575,2.00E+05,1,1,1,38,-2,2780,2658,0
6576,20000,2,2,2,23,0,11564,2000,1
6577,3.00E+05,1,3,1,31,-1,1877,2500,0
6578,160000,2,1,1,41,0,120528,7000,0
6579,5.00E+05,2,1,1,41,-1,680,0,0
6580,50000,2,2,2,25,2,50863,1600,1
6581,20000,1,1,2,25,0,20052,1500,0
6582,240000,1,3,1,40,2,213732,8500,1
6583,2.00E+05,1,2,2,29,2,172325,6000,1
6584,2.00E+05,2,2,2,27,-1,184,2250,1
6585,260000,2,1,2,36,-1,10425,2297,0
6586,1.00E+05,1,2,2,26,2,89296,14002,0
6587,360000,1,3,1,42,-1,25988,1815,0
6588,280000,2,6,3,38,0,286469,8024,0
6589,360000,1,1,1,47,0,10221,8536,0
6590,420000,2,1,1,34,-1,440,1039,0
6591,4.00E+05,2,2,1,42,-2,0,641,0
6592,50000,2,2,1,41,2,33343,1502,0
6593,5.00E+05,1,1,1,45,-2,186610,261524,0
6594,50000,1,2,2,56,0,48025,1884,0
6595,80000,2,1,2,24,-1,1275,2,0
6596,80000,2,2,2,23,2,84176,0,0
6597,20000,2,2,2,50,0,13922,3000,0
6598,460000,2,1,2,27,0,81252,5020,0
6599,240000,1,1,2,33,0,47742,1898,0
6600,120000,1,2,2,30,0,53456,2058,0
6601,20000,1,2,2,24,1,7719,0,0
6602,290000,1,3,1,50,0,62381,1778,0
6603,50000,2,2,2,38,0,33801,1433,0
6604,2.00E+05,2,2,1,40,0,22065,2000,0
6605,20000,2,3,3,27,0,17973,2800,0
6606,1.00E+05,1,1,1,43,0,43970,2500,0
6607,260000,2,1,2,36,0,107350,4500,0
6608,20000,2,2,2,27,4,21750,0,0
6609,10000,2,2,2,22,0,5964,1284,0
6610,420000,1,1,1,47,-2,46179,84459,0
6611,130000,2,3,2,27,0,29645,2000,0
6612,150000,2,1,2,25,0,36497,2287,0
6613,120000,1,1,2,33,-1,291,291,0
6614,30000,2,2,2,25,0,7244,1142,0
6615,260000,2,2,2,31,0,166071,7000,0
6616,60000,1,3,2,34,-1,326,326,1
6617,70000,2,3,2,52,0,105991,2777,0
6618,110000,1,2,2,26,2,28290,3000,0
6619,180000,1,2,2,37,-1,8788,40970,0
6620,3.00E+05,2,2,2,48,-2,6301,4126,0
6621,260000,2,1,1,38,-2,622,3084,0
6622,50000,2,2,1,41,2,36329,3406,1
6623,90000,2,3,1,45,0,63115,1988,0
6624,20000,2,2,2,24,1,6025,0,1
6625,220000,2,1,2,30,-1,2731,3403,0
6626,240000,1,1,2,27,0,2961,2000,0
6627,440000,2,2,2,40,0,98496,10000,0
6628,60000,2,2,1,37,5,60480,1001,0
6629,380000,1,2,1,31,-1,6749,7959,0
6630,30000,2,3,1,44,2,19608,1700,1
6631,120000,2,2,2,35,0,71708,3200,0
6632,150000,1,1,2,29,-2,4583,6989,0
6633,90000,1,2,2,28,0,43314,2037,0
6634,180000,2,2,1,34,0,25000,0,0
6635,10000,2,2,2,37,-1,7841,1157,0
6636,20000,1,2,2,24,2,15166,0,1
6637,80000,2,3,1,41,2,57754,0,1
6638,610000,1,2,1,30,0,50724,2134,0
6639,180000,2,3,2,27,1,0,0,0
6640,50000,1,3,1,53,1,0,484,1
6641,130000,1,1,2,30,0,130705,6500,1
6642,160000,1,1,2,26,0,135233,5600,0
6643,2.00E+05,1,1,2,29,0,137218,6808,0
6644,20000,1,1,2,29,0,14897,3170,0
6645,50000,2,2,2,56,0,47060,2180,0
6646,30000,2,2,1,46,1,27882,1800,1
6647,140000,1,2,1,29,0,130767,6696,0
6648,160000,1,2,1,45,1,11569,0,0
6649,410000,1,1,1,33,-1,3244,8339,0
6650,320000,2,1,2,30,0,8144,7500,0
6651,50000,2,2,1,36,0,47404,2148,0
6652,110000,1,2,2,29,0,107221,4000,0
6653,530000,2,3,1,50,0,219884,10000,0
6654,80000,2,2,2,40,0,46982,1728,1
6655,190000,2,1,2,26,2,204297,6355,1
6656,5.00E+05,1,2,1,58,-1,4101,11155,0
6657,270000,2,3,2,30,1,0,2900,0
6658,20000,2,2,2,26,2,17368,0,0
6659,90000,1,2,1,39,0,27764,1500,1
6660,10000,1,2,2,44,1,6898,1019,0
6661,320000,2,2,1,36,0,4062,1155,0
6662,190000,2,1,1,33,0,42740,10000,0
6663,380000,1,1,1,39,-1,6347,0,1
6664,180000,1,2,2,30,0,145563,10035,0
6665,360000,2,1,2,33,-1,898,11573,0
6666,150000,1,2,1,30,1,40496,1000,0
6667,50000,2,1,1,57,1,45608,0,1
6668,50000,1,2,2,39,1,39966,0,0
6669,50000,1,3,1,51,0,42257,3000,0
6670,340000,2,2,2,30,0,47664,2000,0
6671,320000,1,1,2,26,-1,111710,1267,0
6672,230000,2,1,2,42,-1,326,326,0
6673,120000,2,1,2,31,-1,643,586,0
6674,30000,1,1,2,34,1,26921,1700,0
6675,240000,1,1,2,34,-1,21027,27994,0
6676,240000,2,2,1,32,1,0,0,0
6677,210000,1,1,2,30,0,99342,4900,0
6678,20000,1,3,2,24,1,17231,0,0
6679,20000,2,2,1,42,0,16560,1293,1
6680,110000,2,1,2,25,1,4382,5,0
6681,130000,1,2,1,39,0,88014,3245,0
6682,80000,2,2,1,28,0,77857,4000,0
6683,20000,1,2,1,36,1,12564,0,1
6684,10000,1,1,1,38,-1,4711,5000,1
6685,180000,1,2,1,37,-1,5480,11850,0
6686,280000,2,2,2,29,0,140888,5040,0
6687,220000,1,1,2,29,2,124820,6300,1
6688,260000,1,2,1,42,3,215521,0,1
6689,30000,1,2,1,40,1,15526,0,0
6690,50000,2,2,1,29,-2,21523,19505,0
6691,150000,2,3,2,47,0,153720,7000,0
6692,160000,1,3,2,38,0,47269,2767,0
6693,20000,1,2,2,26,1,0,132,0
6694,280000,1,1,1,42,0,18958,2676,0
6695,50000,1,2,2,24,0,6716,1290,0
6696,3.00E+05,2,1,2,43,1,1352,2380,0
6697,230000,1,2,1,31,0,60528,5000,0
6698,60000,1,3,2,27,0,37170,2000,0
6699,190000,1,3,1,29,-2,51632,1000,0
6700,60000,1,2,2,43,1,0,0,0
6701,1.00E+05,2,2,2,25,2,88420,3600,1
6702,30000,2,2,1,45,0,17166,2000,0
6703,2.00E+05,2,2,2,30,6,71310,0,1
6704,30000,1,1,3,27,0,25107,2000,0
6705,130000,1,2,2,25,0,126454,4252,0
6706,120000,1,2,2,29,0,60098,2000,0
6707,160000,2,2,2,35,1,-200,0,0
6708,20000,2,2,2,23,0,17772,1877,0
6709,30000,2,2,2,24,2,26133,3526,0
6710,70000,2,2,2,23,0,65026,4000,0
6711,80000,1,3,2,25,0,78230,2289,0
6712,80000,2,2,2,23,0,6085,1128,0
6713,1.00E+05,1,2,2,50,0,104466,4000,0
6714,570000,1,1,2,31,0,26775,15004,0
6715,170000,1,1,1,45,2,360,360,0
6716,50000,2,2,2,25,1,0,870,0
6717,310000,2,1,2,39,0,300500,11027,0
6718,140000,1,1,2,27,0,19484,2000,1
6719,2.00E+05,2,2,2,29,0,69412,4012,0
6720,3.00E+05,2,2,2,26,0,11342,9670,1
6721,3.00E+05,2,1,2,26,0,296186,20006,0
6722,140000,1,2,2,55,0,162452,5000,0
6723,560000,1,1,1,47,-1,10501,69803,0
6724,2.00E+05,1,1,1,46,1,73537,0,1
6725,230000,2,3,1,31,0,184444,7016,0
6726,2.00E+05,1,1,1,36,0,2346,2500,1
6727,160000,1,2,2,34,2,73820,0,1
6728,220000,1,1,2,29,0,216096,10110,0
6729,60000,1,3,2,25,0,59817,3000,0
6730,390000,2,2,1,43,2,78658,4514,1
6731,280000,2,1,2,39,-2,1863,872,0
6732,80000,1,1,1,60,0,53315,3300,0
6733,360000,1,2,1,34,0,31580,1549,0
6734,20000,2,2,2,21,0,18770,1400,0
6735,5.00E+05,2,2,1,31,-1,2181,5700,0
6736,90000,2,1,2,23,-1,316,3066,0
6737,30000,2,1,1,33,0,27729,1500,0
6738,390000,1,1,2,47,1,0,3760,0
6739,360000,1,1,1,32,1,0,0,1
6740,10000,2,2,2,32,0,9463,1165,0
6741,150000,2,1,1,32,1,0,0,0
6742,40000,2,2,2,27,0,29009,9000,0
6743,210000,2,5,2,29,0,67931,12411,0
6744,50000,2,2,1,41,0,46965,1650,0
6745,10000,1,2,2,23,0,7886,1500,1
6746,310000,2,2,2,26,0,40604,3000,0
6747,50000,1,1,2,34,0,43796,2100,0
6748,150000,2,1,1,37,-1,4787,1054,0
6749,50000,1,3,1,48,0,11839,1600,1
6750,250000,2,1,2,30,0,77245,8722,0
6751,30000,2,3,1,46,2,22352,1700,1
6752,30000,1,1,1,32,0,22541,1338,1
6753,30000,2,3,1,50,2,30615,0,1
6754,20000,2,2,1,44,8,16942,0,1
6755,30000,2,1,2,24,0,17615,1310,0
6756,3.00E+05,1,1,1,45,-1,999,0,1
6757,90000,1,2,1,28,0,5580,0,0
6758,30000,1,2,2,24,0,25063,1545,0
6759,2.00E+05,2,2,1,51,0,128208,5000,1
6760,180000,2,2,2,29,0,100534,5364,0
6761,70000,2,2,2,26,0,50680,2000,0
6762,230000,2,2,2,29,-2,0,0,0
6763,240000,2,1,1,45,1,0,0,0
6764,190000,2,3,1,41,-1,2665,0,0
6765,80000,2,1,1,29,-2,4225,20000,0
6766,3.00E+05,2,2,1,34,0,86116,3894,0
6767,220000,2,1,1,36,0,210475,9639,0
6768,340000,1,2,1,31,0,63098,2338,1
6769,480000,2,1,2,57,-1,7066,6378,0
6770,60000,2,1,1,25,0,45575,1432,0
6771,2.00E+05,1,2,1,28,-1,11445,5013,0
6772,20000,1,2,1,53,0,19646,3000,0
6773,110000,2,3,2,46,0,45846,2000,0
6774,470000,2,2,2,32,0,491428,3.00E+05,1
6775,2.00E+05,1,2,1,42,-1,748,49007,0
6776,130000,1,1,2,30,0,16757,5000,0
6777,80000,1,1,1,46,0,78861,2435,0
6778,120000,2,2,1,30,1,0,0,0
6779,180000,1,1,2,27,0,29735,19000,0
6780,4.00E+05,1,2,1,42,0,286710,11011,0
6781,150000,1,3,1,43,0,150797,3008,0
6782,640000,2,3,2,34,0,105423,51644,0
6783,5.00E+05,1,1,1,32,1,48169,20000,0
6784,70000,2,1,2,26,1,28106,3100,1
6785,1.00E+05,2,1,2,24,-1,1331,0,0
6786,80000,2,3,1,42,-2,0,0,0
6787,120000,2,2,1,30,0,84094,3081,0
6788,210000,2,1,2,31,0,40167,2000,0
6789,50000,2,1,2,25,-1,13572,5000,0
6790,50000,2,2,1,45,0,46188,1261,0
6791,260000,1,2,1,35,-2,-48,4261,0
6792,20000,1,2,2,22,1,-50,0,0
6793,30000,1,2,1,40,2,38001,0,0
6794,310000,2,2,1,29,0,182202,5118,0
6795,1.00E+05,1,1,2,34,-1,43128,6200,0
6796,3.00E+05,2,1,1,38,-2,390,0,0
6797,30000,1,3,1,47,0,27609,3630,0
6798,320000,1,2,2,34,0,173742,8100,0
6799,120000,2,1,2,32,0,81878,3014,0
6800,80000,1,2,2,24,0,26170,1414,1
6801,20000,1,3,1,50,2,15089,2200,1
6802,380000,1,1,1,53,-2,360,360,0
6803,180000,2,1,2,30,0,173094,7000,0
6804,50000,1,2,2,27,0,26380,1000,0
6805,280000,1,1,2,33,-2,0,0,0
6806,30000,2,3,2,47,0,25262,1518,0
6807,1.00E+05,1,2,2,25,2,97614,3000,1
6808,30000,1,1,2,45,0,27990,1850,0
6809,160000,2,2,2,30,0,124178,4507,0
6810,210000,1,1,1,42,-1,2295,6090,0
6811,10000,1,1,2,30,0,7930,1200,0
6812,420000,2,2,2,36,-1,3581,16647,0
6813,4.00E+05,2,1,1,37,-2,-151,78130,0
6814,70000,2,1,2,29,0,62870,2134,0
6815,110000,1,2,2,31,0,61050,2600,0
6816,3.00E+05,1,1,1,54,0,234589,0,0
6817,120000,2,1,2,27,-1,22027,35000,0
6818,180000,1,1,2,27,0,13895,5000,0
6819,4.00E+05,1,1,1,46,0,31864,4237,0
6820,1.00E+05,1,1,1,44,0,37222,2000,0
6821,220000,2,2,1,32,-2,183718,6243,1
6822,220000,2,2,1,43,-1,316,316,0
6823,140000,2,2,1,27,0,126771,10000,0
6824,90000,2,2,1,51,0,112577,4000,1
6825,30000,2,1,2,23,0,29292,1804,0
6826,240000,2,1,2,28,0,2276,1000,0
6827,110000,2,1,1,37,0,106658,10800,0
6828,60000,2,1,2,24,2,37356,5200,1
6829,20000,1,2,2,26,1,13242,0,1
6830,180000,1,2,1,53,0,173481,7900,1
6831,130000,2,2,2,26,0,84133,2758,0
6832,130000,2,3,1,36,0,42553,1740,0
6833,70000,1,1,2,26,2,50587,2214,0
6834,10000,1,2,1,42,-1,9860,0,1
6835,50000,2,1,2,24,-2,894,1020,0
6836,190000,2,1,1,31,-1,8121,0,0
6837,60000,1,2,2,36,0,59219,3083,0
6838,20000,1,1,2,25,1,17147,3000,1
6839,80000,2,2,2,42,2,73981,9625,1
6840,5.00E+05,2,1,1,51,-1,5255,86992,0
6841,220000,1,3,1,52,1,-4300,0,0
6842,230000,2,2,1,36,-2,3786,2914,0
6843,20000,1,2,2,25,2,15522,1500,0
6844,50000,1,2,2,39,0,48803,1487,1
6845,120000,2,1,2,29,0,110488,4000,0
6846,130000,2,2,2,34,0,99593,4050,1
6847,230000,2,1,2,26,2,363,363,0
6848,350000,1,1,2,32,0,92134,30000,0
6849,3.00E+05,2,1,2,38,-2,13548,2060,0
6850,70000,2,2,2,55,0,67572,2124,0
6851,280000,1,1,2,33,0,281604,10000,0
6852,60000,2,2,1,25,0,20636,1369,1
6853,310000,1,2,2,42,0,169749,7000,1
6854,290000,1,3,2,34,0,5451,1200,1
6855,180000,1,1,1,35,1,133424,5000,1
6856,340000,2,1,2,43,1,-212,0,0
6857,360000,2,1,2,29,-2,5041,2500,0
6858,180000,2,1,1,33,-1,996,1503,1
6859,30000,2,3,1,48,0,25615,1751,0
6860,1.00E+05,1,1,2,32,0,26127,2000,0
6861,180000,1,2,1,42,0,87815,3800,0
6862,210000,2,1,2,31,2,131297,9735,1
6863,180000,2,2,1,36,0,111190,6000,0
6864,60000,2,3,3,48,0,53116,3689,0
6865,5.00E+05,1,1,2,30,0,192257,40000,0
6866,2.00E+05,2,2,1,37,0,5766,1274,0
6867,610000,2,2,1,39,0,145143,5002,0
6868,50000,1,2,2,29,0,47373,2000,0
6869,80000,2,6,2,25,0,6643,3000,0
6870,210000,1,1,2,38,0,103310,107651,0
6871,50000,1,1,2,56,1,52108,52,0
6872,360000,1,1,1,58,-1,5619,15008,0
6873,240000,1,2,2,30,-2,53812,2010,0
6874,20000,1,3,1,56,0,10847,1508,0
6875,10000,1,1,2,22,0,2946,0,1
6876,30000,2,2,2,23,2,30558,1500,1
6877,360000,1,0,2,30,0,40250,23000,0
6878,260000,1,1,2,29,0,52079,6000,0
6879,1.00E+05,1,2,1,52,0,64358,2416,0
6880,5.00E+05,2,2,1,40,-1,2231,0,0
6881,70000,2,3,2,42,0,69470,3085,0
6882,2.00E+05,2,1,1,38,-2,26344,0,0
6883,230000,2,5,2,45,0,144407,5400,0
6884,2.00E+05,1,2,2,36,-1,2989,0,0
6885,110000,1,2,1,38,2,96898,4826,1
6886,260000,2,1,2,33,0,6818,1340,0
6887,50000,2,3,3,55,-1,390,390,0
6888,50000,1,2,2,44,0,49120,2504,0
6889,80000,1,2,2,23,0,25992,1000,0
6890,260000,1,1,2,29,-1,7168,4497,0
6891,80000,1,1,2,31,0,48783,5000,0
6892,80000,2,1,2,29,0,48164,2000,0
6893,2.00E+05,2,5,1,36,-1,2353,3011,0
6894,370000,2,2,2,29,4,390509,0,1
6895,60000,2,1,1,43,2,46806,2000,1
6896,260000,1,1,2,29,1,56536,778,0
6897,30000,1,2,2,35,3,13461,1228,1
6898,120000,1,2,2,32,1,60316,3000,1
6899,130000,2,3,2,39,0,133825,7500,0
6900,160000,2,3,1,38,-2,0,0,0
6901,230000,2,2,2,31,-1,5070,4317,0
6902,3.00E+05,2,1,2,26,0,293554,7877,0
6903,180000,2,2,2,29,-2,4000,6028,0
6904,80000,2,2,2,24,1,0,159,1
6905,180000,2,4,1,30,0,107337,3735,0
6906,50000,1,2,2,25,3,50516,9,1
6907,10000,1,2,1,62,-2,2778,1939,0
6908,50000,1,2,2,46,-1,1540,26060,0
6909,90000,2,1,1,31,1,8318,39,0
6910,30000,2,3,2,29,2,23136,1744,1
6911,180000,1,1,1,38,0,181302,6747,0
6912,150000,2,2,1,38,0,140133,6601,0
6913,590000,1,1,1,63,0,630458,28000,0
6914,60000,1,2,1,39,0,59929,2110,0
6915,1.00E+05,1,2,2,27,2,63004,5000,1
6916,20000,2,2,2,25,-2,7666,6664,0
6917,10000,1,1,2,22,2,6883,2500,1
6918,3.00E+05,1,1,2,26,2,273138,12000,1
6919,260000,2,2,2,40,0,241565,13000,0
6920,160000,2,3,1,28,0,38660,2500,0
6921,260000,2,1,2,32,-2,0,0,1
6922,280000,2,1,2,29,-1,2187,1469,0
6923,260000,2,1,2,35,1,-15,16611,0
6924,240000,1,1,1,43,-2,3645,9088,0
6925,50000,2,2,3,49,0,45681,1209,0
6926,260000,2,2,2,44,1,0,0,1
6927,60000,2,2,2,24,2,60270,5706,1
6928,130000,2,2,1,26,0,24579,1187,0
6929,140000,2,1,2,31,0,112936,6000,0
6930,20000,1,3,2,39,2,18243,1677,1
6931,360000,2,1,2,35,1,0,0,0
6932,220000,1,1,2,28,0,127021,28500,0
6933,5.00E+05,1,1,2,37,-1,4331,60446,1
6934,50000,1,3,3,59,0,50739,1500,0
6935,210000,2,1,2,28,-1,262,3771,0
6936,2.00E+05,1,1,1,41,0,90930,5032,0
6937,370000,1,1,2,28,0,87313,5000,0
6938,2.00E+05,1,2,2,27,1,112050,6501,0
6939,260000,1,1,1,51,1,-200,0,0
6940,50000,2,1,2,23,-1,15512,2552,0
6941,260000,2,1,2,33,0,18460,3000,0
6942,230000,2,3,2,48,-1,2781,12540,0
6943,20000,1,2,2,27,1,0,0,1
6944,5.00E+05,1,2,2,33,0,3311,4019,0
6945,160000,2,2,1,50,-1,1261,2261,1
6946,50000,1,2,2,25,0,1552,2452,1
6947,220000,2,2,1,37,2,2345,1007,1
6948,150000,1,3,1,64,0,56852,2688,0
6949,180000,2,1,2,35,-1,11123,7936,0
6950,80000,2,2,1,40,0,82150,0,1
6951,50000,2,3,2,27,0,41991,1720,0
6952,30000,2,2,2,26,1,5231,1300,1
6953,180000,2,2,2,31,0,176731,6814,0
6954,70000,1,3,1,64,0,62188,3000,0
6955,3.00E+05,2,1,2,33,-2,0,0,1
6956,640000,2,1,1,50,-2,6482,8853,0
6957,60000,2,1,2,28,1,0,0,0
6958,120000,2,2,2,24,2,67714,2102,1
6959,280000,2,1,2,27,-1,36382,2000,0
6960,260000,2,1,2,32,0,8161,2000,0
6961,50000,1,2,3,34,0,48538,3000,0
6962,70000,1,2,2,47,1,64586,0,0
6963,50000,1,1,2,38,-1,390,770,1
6964,470000,1,1,1,40,2,241153,10000,1
6965,320000,2,1,1,41,-2,56093,0,0
6966,50000,2,3,2,23,0,49385,1500,0
6967,230000,2,3,1,32,-2,0,0,0
6968,140000,2,2,2,29,0,43030,2000,0
6969,50000,1,2,2,25,0,6302,1800,1
6970,450000,2,1,2,45,1,0,0,0
6971,5.00E+05,1,2,1,49,-1,371,3540,0
6972,20000,1,2,2,37,0,15960,0,0
6973,230000,1,1,1,38,-1,1902,2170,0
6974,50000,1,2,2,24,1,53890,2200,0
6975,3.00E+05,1,2,1,31,-1,12793,14212,0
6976,1.00E+05,2,3,1,36,2,92675,3445,0
6977,30000,1,2,2,27,0,29063,1908,0
6978,4.00E+05,1,2,1,44,-1,6389,59570,0
6979,170000,1,1,2,30,-1,998,0,0
6980,340000,2,3,2,57,0,49467,1880,0
6981,210000,2,2,1,35,0,44552,2000,0
6982,80000,2,2,1,38,-1,1894,316,1
6983,20000,2,1,2,24,-1,7795,4112,0
6984,3.00E+05,2,1,1,51,-1,311,832,0
6985,20000,1,3,2,43,-1,6085,1045,1
6986,50000,1,1,1,40,0,50657,2015,0
6987,60000,2,1,2,27,-1,3136,1286,0
6988,60000,2,2,2,50,0,59853,1500,0
6989,50000,1,3,1,51,1,48091,1,1
6990,120000,2,2,2,26,1,52623,0,0
6991,20000,1,3,2,59,2,5119,1500,0
6992,240000,2,2,1,40,-1,326,326,0
6993,420000,2,1,2,36,-2,0,3363,0
6994,180000,2,1,2,28,1,0,0,0
6995,410000,2,3,2,28,2,407490,16195,0
6996,30000,1,1,2,41,0,16098,1597,1
6997,110000,1,2,2,25,2,38449,3000,0
6998,90000,1,1,2,33,-1,498,498,0
6999,220000,1,1,1,41,-1,30262,37092,0
7000,50000,2,3,1,57,2,47349,1892,1
7001,30000,2,3,2,22,0,20741,1500,0
7002,520000,1,1,1,55,-1,2292,5227,0
7003,80000,2,3,1,39,2,48401,2000,0
7004,20000,1,3,2,58,0,12066,0,0
7005,210000,2,1,2,29,-1,27371,871,0
7006,1.00E+05,2,2,2,28,0,101557,5000,0
7007,320000,2,1,1,33,1,0,0,0
7008,5.00E+05,2,2,1,44,0,38034,1632,0
7009,20000,2,3,1,41,0,16208,1300,0
7010,10000,1,2,1,59,0,6827,1290,0
7011,310000,1,3,1,43,-1,4323,650,0
7012,2.00E+05,2,1,2,37,-1,11211,12329,0
7013,180000,1,3,2,29,-2,4358,3169,0
7014,50000,1,2,1,32,0,37293,1634,0
7015,150000,2,2,2,41,-1,2371,40824,0
7016,5.00E+05,2,1,1,45,0,93669,10147,0
7017,230000,1,2,2,31,0,14529,5500,1
7018,20000,1,2,2,38,0,19845,1694,0
7019,190000,2,2,2,28,0,43072,3768,0
7020,20000,2,2,2,24,0,19043,1500,0
7021,170000,1,3,1,51,0,55396,8000,0
7022,210000,2,2,2,43,0,180962,6601,0
7023,1.00E+05,1,2,1,44,2,59586,2800,1
7024,260000,2,2,1,42,0,50060,5000,0
7025,2.00E+05,2,2,2,25,0,22371,2569,0
7026,90000,1,2,3,40,0,106947,1965,1
7027,470000,2,1,1,35,0,270005,9500,0
7028,270000,2,1,2,27,-1,153201,5933,0
7029,1.00E+05,1,1,1,49,0,63977,2500,1
7030,2.00E+05,2,1,2,40,1,-433,0,0
7031,70000,2,2,1,43,0,38173,1957,0
7032,2.00E+05,2,1,1,40,-1,16204,7870,0
7033,50000,2,2,1,31,0,52754,3000,0
7034,90000,2,2,1,24,0,28329,1800,0
7035,50000,2,2,1,30,0,48139,2299,0
7036,240000,2,1,1,37,-1,317,0,0
7037,140000,1,1,2,35,-1,325,537,0
7038,120000,1,1,1,52,2,112593,3300,0
7039,460000,1,2,1,61,1,0,8602,0
7040,170000,2,2,1,25,0,1906,4000,0
7041,5.00E+05,2,1,1,39,0,39823,30006,0
7042,50000,1,2,1,51,0,31281,2556,0
7043,210000,2,1,2,26,1,-12,500,0
7044,50000,1,1,2,24,0,42509,2041,0
7045,2.00E+05,2,2,1,42,-1,326,645,0
7046,20000,2,1,2,26,-1,11030,5331,0
7047,80000,2,2,1,53,1,9715,0,0
7048,430000,1,2,1,32,1,0,2500,1
7049,350000,2,1,2,44,3,314607,14000,1
7050,50000,2,2,1,34,-1,2738,8199,0
7051,210000,2,3,1,55,0,217016,8049,1
7052,20000,1,2,2,51,-1,780,0,0
7053,160000,2,2,2,29,0,36134,21000,1
7054,50000,2,3,1,46,2,25706,1434,1
7055,50000,2,1,2,24,0,49982,1963,0
7056,30000,1,3,2,31,3,30588,0,1
7057,1.00E+05,1,1,2,29,2,48186,1800,1
7058,360000,1,2,2,28,0,35564,2086,0
7059,310000,2,2,1,34,0,4153,1002,0
